id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
91,ChemCoTBench,LLM Reasoning Benchmark & Dataset for Chemistry,A benchmark and Chain-of-Thoughts dataset designed to evaluate Large Language Models on chemistry reasoning tasks.,Chemistry;C3,benchmark;reasoning,dataset,Python,https://github.com/IDEA-XL/ChemCoTBench,,None,llm;benchmark;chemistry-reasoning
92,ABT-MPNN,Atom-bond transformer-based MPNN for molecular properties,An Atom-Bond Transformer-based Message Passing Neural Network (ABT-MPNN) for accurate molecular property prediction.,Chemistry;C3,property_prediction,solver,Python,https://github.com/LCY02/ABT-MPNN,,MIT,mpnn;transformer;molecular-property
93,TyphoFormer,LLM-Augmented Transformer for Typhoon Track Prediction,"A spatial-temporal transformer model augmented with LLMs for predicting typhoon tracks, serving the domain of meteorology and earth science.",Earth Science;Meteorology,weather_prediction;track_prediction,solver,Python,https://github.com/LabRAI/TyphoFormer,,None,typhoon;transformer;meteorology
94,Organic Reaction Prediction NMT,NMT-based organic reaction prediction,An implementation of Neural Machine Translation (NMT) with attention mechanisms for predicting organic chemistry reactions.,Chemistry;C3;C3-02,reaction_prediction,solver,Python,https://github.com/ManzoorElahi/organic-chemistry-reaction-prediction-using-NMT,,None,nmt;reaction-prediction;organic-chemistry
95,Levenshtein SMILES Augmentation,Data augmentation tool for chemical reaction datasets using Levenshtein distance,"A Python utility for augmenting reaction SMILES datasets by applying Levenshtein distance-based modifications, developed by MolecularAI (AstraZeneca) to improve robustness of chemical reaction models.",Chemistry;C3;C3-02,data_augmentation;data_processing,library,Python,https://github.com/MolecularAI/Levenshtein,,Apache-2.0,smiles;data-augmentation;chemistry
96,Deep Molecular Optimization,Molecular optimization framework using Seq2Seq and Transformers,"A deep learning framework for molecular optimization that captures chemical intuition using Sequence-to-Sequence models with attention mechanisms and Transformers, facilitating de novo molecular design.",Chemistry;Drug Discovery,molecular_design;optimization,library,Python,https://github.com/MolecularAI/deep-molecular-optimization,,Apache-2.0,molecular-optimization;transformer;seq2seq
97,EvalRetro,Benchmarking framework for single-step retrosynthesis algorithms,"A comprehensive repository for evaluating and benchmarking various single-step retrosynthesis prediction algorithms, providing standardized metrics and datasets for chemical synthesis research.",Chemistry;C3;C3-02,benchmarking;retrosynthesis,solver,Python,https://github.com/OptiMaL-PSE-Lab/EvalRetro,,MIT,retrosynthesis;benchmarking;chemistry
98,SiGra,Single-cell spatial elucidation using image-augmented graph transformers,A tool for single-cell spatial analysis that integrates histology images and gene expression data using a graph transformer model to elucidate spatial domains and cell-cell interactions.,Biology;Spatial Transcriptomics,spatial_analysis;single_cell,solver,Jupyter Notebook,https://github.com/QSong-github/SiGra,,MIT,single-cell;spatial-transcriptomics;graph-transformer
99,GET,Generalist Equivariant Transformer for 3D molecular interaction learning,"Implementation of the Generalist Equivariant Transformer (GET) for modeling 3D molecular interactions, applicable to tasks like protein-ligand binding and molecular property prediction.",Chemistry;Biology,molecular_interaction;structure_prediction,solver,Python,https://github.com/THUNLP-MT/GET,,MIT,molecular-interaction;equivariant-transformer;3d-structure
100,MEGANet,Multi-scale Edge-Guided Attention Network for polyp segmentation,"A deep learning model for medical image segmentation, specifically designed for polyp detection in colonoscopy images using multi-scale edge-guided attention mechanisms.",Medical Imaging;Biology,segmentation;medical_diagnosis,solver,Python,https://github.com/UARK-AICV/MEGANet,,None,medical-imaging;segmentation;polyp-detection
101,Meganet.m,MATLAB library for Deep Learning as Optimal Control (SciML),"A MATLAB framework implementing deep learning architectures as discretized optimal control problems (ODEs), widely used in scientific machine learning and inverse problems.",Scientific Machine Learning;Physics,modeling;inverse_problems,library,MATLAB,https://github.com/XtractOpen/Meganet.m,,NOASSERTION,sciml;ode;optimal-control
102,EnvRtype,R toolkit for environmental characterization and genomic prediction,"An R package for collecting environmental data from GIS platforms and performing environmental characterization, specifically designed for genomic prediction of reaction norms in ecology and breeding.",Ecology;Genomics,environmental_analysis;genomic_prediction,library,R,https://github.com/allogamous/EnvRtype,,None,ecology;genomics;gis
103,Rexgen Direct,Template-free prediction of organic reaction outcomes using graph neural networks,"A data-driven, template-free approach for predicting the outcomes of organic chemical reactions. It treats reaction prediction as a graph-to-graph translation problem, identifying reaction centers and generating product structures directly from reactant graphs without relying on predefined reaction templates.",Chemistry;C3;C3-02,reaction_prediction;forward_synthesis,solver,Jupyter Notebook,https://github.com/connorcoley/rexgen_direct,,GPL-3.0,reaction-prediction;organic-chemistry;graph-neural-networks;template-free
104,SolTranNet,Aqueous solubility prediction using molecular transformers,"A deep learning tool for predicting the aqueous solubility of organic molecules. It utilizes a Transformer-based architecture adapted for SMILES strings to estimate LogS values, aiding in drug discovery and chemical property screening.",Chemistry;C2;C2-01,solubility_prediction;property_prediction,solver,Python,https://github.com/gnina/SolTranNet,,Apache-2.0,solubility;molecular-transformer;property-prediction;drug-discovery
105,MALT,High-throughput sequence alignment tool for metagenomics,"MALT (MEGAN Alignment Tool) is a sequence alignment and analysis tool designed for processing high-throughput sequencing data, specifically for metagenomic analysis.",Bioinformatics;Metagenomics,sequence_alignment;metagenomics,solver,Java,https://github.com/husonlab/malt,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/algorithms-in-bioinformatics/software/malt/,GPL-3.0,alignment;metagenomics;sequencing
106,MEGAN Community Edition,Interactive tool for metagenomic data analysis and visualization,"MEGAN (MEtaGenome ANalyzer) is a comprehensive toolbox for interactively analyzing and comparing microbiome data, allowing users to explore the taxonomic and functional content of their data.",Bioinformatics;Metagenomics,data_analysis;visualization;taxonomic_profiling,platform,Java,https://github.com/husonlab/megan-ce,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/algorithms-in-bioinformatics/software/megan6/,GPL-3.0,metagenomics;visualization;microbiome
107,GREAD,Graph Neural Reaction-Diffusion Networks for modeling dynamic systems,"GREAD implements a graph neural network framework designed to model reaction-diffusion processes, applicable to physics and chemical dynamics simulations.",Physics;Chemistry,dynamic_modeling;reaction_diffusion,solver,Python,https://github.com/jeongwhanchoi/GREAD,,Apache-2.0,reaction-diffusion;graph-neural-networks;dynamics
108,synthesis-dags,Search algorithm over molecule synthesis DAGs for retrosynthesis,"Implements an approach to search over molecule synthesis Directed Acyclic Graphs (DAGs), facilitating single-step and multi-step retrosynthesis planning.",C3;C3-02,retrosynthesis;synthesis_planning,solver,Python,https://github.com/john-bradshaw/synthesis-dags,,GPL-3.0,retrosynthesis;dag-search;planning
109,LocalTransform,Predicting organic reaction outcomes using local graph transformations,LocalTransform is a template-free reaction prediction model that predicts organic reactivity by learning local graph transformations.,C3;C3-02,reaction_prediction;forward_synthesis,solver,Jupyter Notebook,https://github.com/kaist-amsg/LocalTransform,,None,reaction-prediction;organic-chemistry;graph-neural-networks
110,MolTrans,Molecular Interaction Transformer for Drug-Target Interaction Prediction,MolTrans is a deep learning framework that uses substructure pattern mining and interaction modeling to predict drug-target interactions.,Drug Discovery;Bioinformatics,interaction_prediction;dti,solver,Jupyter Notebook,https://github.com/kexinhuang12345/MolTrans,,BSD-3-Clause,drug-target-interaction;transformer;molecular-interaction
111,Deep-Synthesis,Deep learning framework for chemical synthesis prediction,A framework utilizing sequence-to-sequence models for predicting chemical reaction outcomes and retrosynthetic pathways.,C3;C3-02,reaction_prediction;retrosynthesis,solver,Python,https://github.com/kheyer/Deep-Synthesis,,None,chemical-synthesis;seq2seq;deep-learning
112,MoleculeDiffusionTransformer,Molecular generation using diffusion and autoregressive transformers,"A model for generating molecular structures combining diffusion models with autoregressive transformer architectures, developed at MIT.",C3,molecular_generation;generative_model,solver,Jupyter Notebook,https://github.com/lamm-mit/MoleculeDiffusionTransformer,,None,diffusion-model;molecular-generation;transformer
113,RXNGraphormer,Unified framework for reaction performance prediction and synthesis planning,"Official implementation of RXNGraphormer, a pre-trained deep learning framework designed for cross-task chemical reaction performance prediction and synthesis planning.",C3;C3-02,reaction_prediction;synthesis_planning;yield_prediction,solver,Jupyter Notebook,https://github.com/licheng-xu-echo/RXNGraphormer,,MIT,graphormer;synthesis-planning;reaction-yield
114,Graph-DiT,Graph Diffusion Transformer for Multi-Conditional Molecular Generation,Implementation of Graph Diffusion Transformer (Graph-DiT) for generating molecular graphs under multiple conditions.,C3,molecular_generation;conditional_generation,solver,Python,https://github.com/liugangcode/Graph-DiT,,None,diffusion-transformer;molecular-generation;graph-neural-networks
115,Transformer-M,Transformer model for understanding 2D and 3D molecular data,Transformer-M is a versatile molecular model that can process and understand both 2D topology and 3D geometric structures of molecules.,C3,molecular_representation;property_prediction,solver,Python,https://github.com/lsj2408/Transformer-M,,MIT,molecular-representation;3d-geometry;transformer
116,Graphormer,General-purpose deep learning backbone for molecular modeling,"Graphormer is a graph transformer model designed as a general-purpose backbone for various molecular modeling tasks, including property prediction and conformational analysis.",C3;Materials,molecular_modeling;property_prediction,library,Python,https://github.com/microsoft/Graphormer,https://graphormer.readthedocs.io/,MIT,graph-transformer;molecular-modeling;deep-learning
117,MEGAN (Molecule Edit Graph Attention Network),Modeling chemical reactions as sequences of graph edits,"MEGAN models chemical reactions by predicting a sequence of graph edits to transform reactants into products, useful for reaction prediction.",C3;C3-02,reaction_prediction;graph_edit,solver,Python,https://github.com/molecule-one/megan,,MIT,reaction-prediction;graph-neural-networks;graph-edit
118,MolecularTransformerEmbeddings,Transformer for translating molecular text representations and embeddings,"A Transformer neural network trained to translate between different molecular text representations (e.g., SMILES, IUPAC) and generate molecular embeddings.",C3,molecular_representation;embedding;translation,solver,Jupyter Notebook,https://github.com/mpcrlab/MolecularTransformerEmbeddings,,MIT,molecular-embeddings;transformer;smiles
119,citationchaser,Tool for forward and backward citation chasing in systematic reviews,"An R package and Shiny app for performing forward and backward citation chasing as part of an evidence synthesis project, helping researchers identify relevant literature.",Scientometrics;Evidence Synthesis,literature_review;citation_analysis,library,R,https://github.com/nealhaddaway/citationchaser,,None,systematic-review;citation-chasing;evidence-synthesis
120,nerfacc,General NeRF acceleration toolbox,"A PyTorch toolbox for accelerating Neural Radiance Fields (NeRF) training and rendering, providing efficient sampling and rendering modules for 3D reconstruction research.",Computer Vision;3D Reconstruction,novel_view_synthesis;rendering_acceleration,library,Python,https://github.com/nerfstudio-project/nerfacc,,NOASSERTION,nerf;pytorch;acceleration;3d-reconstruction
121,nerfstudio,Modular framework for Neural Radiance Fields development,"A collaboration-friendly studio for NeRFs, providing a modular API to create, train, and visualize NeRFs, standardizing the workflow for 3D reconstruction research.",Computer Vision;3D Reconstruction,novel_view_synthesis;3d_modeling,platform,Python,https://github.com/nerfstudio-project/nerfstudio,https://docs.nerf.studio,Apache-2.0,nerf;3d-vision;framework
122,Difix3D,3D reconstruction improvement using diffusion models,"A tool for improving 3D reconstructions using single-step diffusion models, specifically addressing artifacts in 3D geometry generation.",Computer Vision;3D Reconstruction,3d_reconstruction;geometry_refinement,solver,Python,https://github.com/nv-tlabs/Difix3D,,NOASSERTION,diffusion-models;3d-reconstruction;cvpr
123,TransVAE,Transformer-based VAE for molecular design,"A Transformer-based Variational Autoencoder (VAE) architecture designed for de novo molecular design, enabling the generation of novel chemical structures.",Chemistry;Drug Discovery,molecular_generation;de_novo_design,solver,Jupyter Notebook,https://github.com/oriondollar/TransVAE,,MIT,vae;transformer;molecular-design;generative-models
124,PDEBench,Benchmark suite for scientific machine learning (PDEs),"An extensive benchmark for Scientific Machine Learning (SciML), providing datasets and code for solving Partial Differential Equations (PDEs) using various neural network architectures.",Physics;Scientific Machine Learning,pde_solving;benchmarking,dataset,Python,https://github.com/pdebench/PDEBench,,NOASSERTION,pde;sciml;benchmark;physics
125,MultiStepRetrosynthesisTTL,Multi-step retrosynthesis prediction tool,"A tool for multi-step retrosynthesis planning based on Augmented Disconnection Aware Triple Transformer Loop Predictions, facilitating synthetic route design.",Chemistry;Retrosynthesis,retrosynthesis_planning;reaction_prediction,solver,Python,https://github.com/reymond-group/MultiStepRetrosynthesisTTL,,NOASSERTION,retrosynthesis;transformer;chemistry
126,rxn_yields,Chemical reaction yield prediction and data augmentation,"A library for predicting chemical reaction yields using machine learning models, including data augmentation strategies to improve prediction accuracy.",Chemistry;Reaction Prediction,yield_prediction;data_augmentation,library,Jupyter Notebook,https://github.com/rxn4chemistry/rxn_yields,,MIT,reaction-yield;machine-learning;chemistry
127,mist,MS/MS spectra encoder for molecular property inference,"A tool for encoding Mass Spectrometry (MS/MS) spectra using formula transformers to infer molecular properties, aiding in metabolite identification.",Chemistry;Metabolomics,spectra_encoding;property_inference,solver,Jupyter Notebook,https://github.com/samgoldman97/mist,,MIT,mass-spectrometry;molecular-properties;transformer
128,reaction_yield_nn,Uncertainty-aware chemical reaction yield prediction,A graph neural network implementation for predicting chemical reaction yields with uncertainty quantification.,Chemistry;Reaction Prediction,yield_prediction;uncertainty_quantification,solver,Python,https://github.com/seokhokang/reaction_yield_nn,,Apache-2.0,gnn;reaction-yield;uncertainty
129,egt,Edge-Augmented Graph Transformer library,"Implementation of Edge-Augmented Graph Transformers, a neural network architecture effective for modeling molecular graphs and other structured scientific data.",Graph Learning;Chemistry,molecular_modeling;graph_representation,library,Python,https://github.com/shamim-hussain/egt,,MIT,graph-transformer;gnn;molecular-graphs
130,egt_pytorch,PyTorch implementation of Edge-Augmented Graph Transformer,"PyTorch implementation of the Edge-Augmented Graph Transformer, facilitating its application in tasks like molecular property prediction.",Graph Learning;Chemistry,molecular_modeling;graph_representation,library,Python,https://github.com/shamim-hussain/egt_pytorch,,MIT,pytorch;graph-transformer;molecular-graphs
131,UnboundedNeRFPytorch,Unbounded and large-scale NeRF implementation,"A PyTorch implementation for training Neural Radiance Fields (NeRF) on unbounded 360-degree scenes, useful for large-scale 3D environment reconstruction.",Computer Vision;3D Reconstruction,novel_view_synthesis;large_scale_reconstruction,solver,Python,https://github.com/sjtuytc/UnboundedNeRFPytorch,,MIT,nerf;unbounded-scenes;pytorch
132,DirectVoxGO,Fast radiance field reconstruction via voxel grid optimization,"A tool for fast Neural Radiance Field (NeRF) reconstruction using direct voxel grid optimization, significantly speeding up training and rendering times.",Computer Vision;3D Reconstruction,novel_view_synthesis;fast_reconstruction,solver,Python,https://github.com/sunset1995/DirectVoxGO,,NOASSERTION,nerf;voxel-grid;acceleration
133,pixel-nerf,NeRF from one or few images,"An implementation of PixelNeRF, a learning framework that predicts continuous neural scene representations from one or a few input images.",Computer Vision;3D Reconstruction,novel_view_synthesis;few_shot_learning,solver,Python,https://github.com/sxyu/pixel-nerf,,BSD-2-Clause,nerf;few-shot;3d-reconstruction
134,linchemin,Toolkit for linked chemical information and route analysis,"A Python toolkit for processing linked chemical reaction data, providing interfaces to computer-aided synthesis prediction (CASP) tools and metrics for synthetic route analysis.",Chemistry;Retrosynthesis,route_analysis;casp_interface,library,Python,https://github.com/syngenta/linchemin,,MIT,casp;synthetic-routes;cheminformatics
135,ReLM,Language models for chemical reaction prediction,"A framework leveraging pre-trained language models to enhance chemical reaction prediction tasks, demonstrating the application of NLP techniques in chemistry.",Chemistry;Reaction Prediction,reaction_prediction;language_modeling,solver,Python,https://github.com/syr-cn/ReLM,,None,llm;reaction-prediction;nlp-for-chemistry
136,taichi-nerfs,High-performance NeRF implementations using Taichi,"A collection of Neural Radiance Field (NeRF) variants implemented using Taichi and PyTorch, focusing on high-performance rendering and training.",Computer Vision;High Performance Computing,novel_view_synthesis;rendering_acceleration,library,Python,https://github.com/taichi-dev/taichi-nerfs,,Apache-2.0,taichi;nerf;acceleration
137,grover,Self-supervised graph transformer for molecular data,"A PyTorch implementation of GROVER, a self-supervised graph transformer pre-trained on large-scale molecular data for learning rich molecular representations.",Chemistry;Molecular Representation,molecular_embedding;property_prediction,solver,Python,https://github.com/tencent-ailab/grover,,NOASSERTION,graph-transformer;self-supervised-learning;molecular-data
138,ASKCOS,Comprehensive software platform for computer-aided synthesis planning (CASP),"ASKCOS (Automated System for Knowledge-Based Continuous Organic Synthesis) is a platform that integrates various data-driven models to perform retrosynthetic analysis, forward reaction prediction, and reaction condition recommendation.",Chemistry,retrosynthesis_planning;reaction_prediction,platform,Python,https://github.com/ASKCOS/ASKCOS,https://askcos.mit.edu/,NOASSERTION,casp;retrosynthesis;synthesis-planning
139,askcos-core,Core Python library for the ASKCOS synthesis planning platform,"Provides the backend logic and API definitions for the ASKCOS platform, handling tasks such as tree search management and model interfacing for chemical reactivity prediction.",Chemistry,retrosynthesis_planning,library,Python,https://github.com/ASKCOS/askcos-core,,NOASSERTION,backend;api;casp
140,ASKCOSv2 (Chemhacktica fork),Modified version of ASKCOSv2 for Chemhacktica project,"A fork of the ASKCOSv2 synthesis planning tool, adapted with specific configurations and features for the Chemhacktica initiative.",Chemistry,retrosynthesis_planning,platform,Python,https://github.com/FourThievesVinegar/ASKCOSv2,,MIT,casp;fork;chemhacktica
141,askcos2_core,Core logic library for ASKCOSv2 synthesis planning,"The core Python package powering the second version of the ASKCOS platform, providing improved algorithms for retrosynthetic route planning.",Chemistry,retrosynthesis_planning,library,Python,https://github.com/FourThievesVinegar/askcos2_core,,MIT,casp;core-library
142,SynPlanner,Tool for computer-aided synthesis planning,A software tool designed to assist chemists in planning synthetic routes for organic molecules using computational methods.,Chemistry,retrosynthesis_planning,solver,Jupyter Notebook,https://github.com/Laboratoire-de-Chemoinformatique/SynPlanner,,MIT,synthesis-planning;casp
143,AiZynthFinder,Retrosynthetic planning tool using Monte Carlo Tree Search,A robust tool for retrosynthetic planning that combines neural network-based policy and value networks with Monte Carlo Tree Search (MCTS) to find synthetic routes.,Chemistry,retrosynthesis_planning,solver,Python,https://github.com/MolecularAI/aizynthfinder,https://molecularai.github.io/aizynthfinder/,MIT,mcts;retrosynthesis;neural-networks
144,DirectMultiStep,Direct route generation for multistep retrosynthesis,"A deep learning approach for predicting multistep retrosynthetic routes directly, rather than step-by-step.",Chemistry,retrosynthesis_planning,solver,Python,https://github.com/batistagroup/DirectMultiStep,,MIT,multistep-synthesis;deep-learning
145,ReTReK,Data-driven retrosynthesis planning using knowledge graphs,An application for retrosynthesis planning that leverages retrosynthesis knowledge and data-driven strategies to propose synthetic pathways.,Chemistry,retrosynthesis_planning,solver,Pawn,https://github.com/clinfo/ReTReK,,MIT,knowledge-graph;retrosynthesis
146,DESP,Double-Ended Synthesis Planning with Goal-Constrained Bidirectional Search,"A synthesis planning algorithm that uses bidirectional search to connect a target molecule to available starting materials, optimizing for convergence.",Chemistry,retrosynthesis_planning,solver,Python,https://github.com/coleygroup/desp,,MIT,bidirectional-search;synthesis-planning
147,retrosynthesis_planner,General purpose retrosynthesis planner,A Python-based planner for performing retrosynthetic analysis to identify potential synthetic routes for target molecules.,Chemistry,retrosynthesis_planning,solver,Python,https://github.com/frnsys/retrosynthesis_planner,,GPL-3.0,retrosynthesis;planning
148,Syntheseus,Standardized package for retrosynthetic planning algorithms,"A library that provides a unified interface for various retrosynthesis planning algorithms and reaction models, facilitating benchmarking and development.",Chemistry,retrosynthesis_planning;benchmarking,library,Python,https://github.com/microsoft/syntheseus,,MIT,benchmarking;retrosynthesis;standardization
149,LightZero,Unified benchmark and library for Monte Carlo Tree Search (MCTS),"A comprehensive MCTS library designed for general sequential decision scenarios, widely applicable to scientific planning tasks like molecular design and retrosynthesis.",Computer Science;Chemistry,search_algorithm;planning,library,Python,https://github.com/opendilab/LightZero,https://opendilab.github.io/LightZero/,Apache-2.0,mcts;reinforcement-learning;decision-making
150,RAscore,Retrosynthetic Accessibility (RA) score calculator,"A machine learning model to estimate the retrosynthetic accessibility (feasibility of synthesis) of chemical compounds, trained on CASP data.",Chemistry,synthetic_accessibility_scoring,library,Python,https://github.com/reymond-group/RAscore,,MIT,scoring;accessibility;machine-learning
151,ChemTS,Molecule design using Monte Carlo Tree Search,A tool for de novo molecule design that combines Monte Carlo Tree Search with a recurrent neural network to generate novel chemical structures.,Chemistry,molecular_generation;search_algorithm,solver,Python,https://github.com/tsudalab/ChemTS,,MIT,mcts;de-novo-design;rnn
152,DP-ChemTS,Distributed parallel framework for ChemTS,"A distributed version of the ChemTS molecule design algorithm, enabling parallelized Monte Carlo Tree Search for accelerated discovery.",Chemistry,molecular_generation;search_algorithm,solver,Python,https://github.com/tsudalab/DP-ChemTS,,MIT,distributed-computing;mcts;parallelization
153,GraphRetro,Graph-based models for retrosynthesis prediction,Implementation of graph neural network models for predicting retrosynthetic disconnections and reactants.,Chemistry,retrosynthesis_prediction,solver,Python,https://github.com/vsomnath/graphretro,,MIT,gnn;graph-neural-networks;retrosynthesis
154,ASKCOSv2 (Mirror),Mirror of the ASKCOSv2 synthesis planning platform,"A mirror of the ASKCOSv2 project, providing computer-aided synthesis planning capabilities with specific customizations (Chemhacktica-flavored).",Chemistry;C3;C3-04,synthesis_planning;retrosynthesis,platform,Python,https://github.com/FourThievesVinegar/ASKCOSv2,,None,casp;mirror;synthesis
155,askcos2_core (Mirror),Mirror of the core library for ASKCOSv2,"A mirror of the askcos2-core package, providing the underlying algorithms and logic for the ASKCOSv2 synthesis planning system.",Chemistry;C3;C3-04,synthesis_planning;backend,library,Python,https://github.com/FourThievesVinegar/askcos2_core,,MIT,core;synthesis;mirror
156,RDTool,Optimized Reaction Decoder Tool for atom mapping,"An optimized version of the Reaction Decoder Tool (RDTool) used for reaction atom mapping and analysis, essential for reaction data processing.",Chemistry;C3,atom_mapping;reaction_analysis,solver,Java,https://github.com/Laboratoire-de-Chemoinformatique/RDTool,,LGPL-2.1,atom-mapping;reaction-decoder;java
157,MANULS,Electrostatic catalysis optimization program,A program designed to find the smallest electric field required to remove the reaction barrier for electrostatic catalysis of chemical reactions.,Chemistry;C3-04,catalysis_optimization;reaction_barrier_analysis,solver,Python,https://github.com/MSeveri96/MANULS,,LGPL-2.1,catalysis;electrostatics;reaction-barrier
158,ReactiveDynamics.jl,Julia package for reaction network dynamical systems,A Julia package implementing a category of reaction (transportation) network-type dynamical systems for modeling reactive dynamics.,Chemistry;C3,reaction_dynamics;network_modeling,library,Julia,https://github.com/Merck/ReactiveDynamics.jl,,NOASSERTION,julia;dynamics;reaction-network
159,aizynthfinder,Retrosynthetic planning tool,A tool for retrosynthetic planning that uses neural networks and tree search algorithms to suggest synthesis routes for target molecules.,Chemistry;C3;C3-04,retrosynthesis;route_planning,solver,Python,https://github.com/MolecularAI/aizynthfinder,https://molecularai.github.io/aizynthfinder/,MIT,retrosynthesis;ai-planning;cheminformatics
160,AARON,Automated Reaction Optimizer for New catalysts,"A tool that automates DFT optimizations of transition state (TS) structures for asymmetric catalytic reactions, facilitating catalyst discovery.",Chemistry;C3-04,reaction_optimization;ts_search;dft_automation,solver,Perl,https://github.com/QChASM/Aaron,,GPL-3.0,catalysis;dft;optimization
161,AROPS,Automated Reaction Optimization with Parallelized Scheduling,A framework for automated reaction optimization that employs parallelized scheduling to efficiently explore reaction conditions.,Chemistry;C3-04,reaction_optimization;process_scheduling,framework,Python,https://github.com/Ruan-Yixiang/AROPS,,MIT,automation;optimization;scheduling
162,SA_score,Synthetic Accessibility score calculator,"A standalone implementation for calculating the Synthetic Accessibility (SA) score of molecules, used to estimate the difficulty of synthesizing a compound.",Chemistry;C3-04,feasibility_scoring;synthetic_accessibility,library,Python,https://github.com/UnixJunkie/SA_score,,None,sa-score;cheminformatics;feasibility
163,pyGSM,Reaction path optimization and discovery tool,A Python tool for thermal and photochemical reaction path optimization and discovery using the Growing String Method (GSM).,Chemistry;C3,reaction_path_optimization;mechanism_discovery,solver,Python,https://github.com/ZimmermanGroup/pyGSM,,MIT,gsm;reaction-path;photochemistry
164,precomplex_generator,Input structure generator for TS searches,A tool for generating suitable precomplex input structures for automated transition-state (TS) searches based on single-ended reaction path optimization algorithms.,Chemistry;C3,ts_search;structure_generation,solver,Python,https://github.com/basf/precomplex_generator,,GPL-3.0,transition-state;computational-chemistry;automation
165,reacnetgenerator,Reaction network generator for MD simulations,An automatic reaction network generator designed for analyzing reactive molecular dynamics simulations and extracting reaction networks.,Chemistry;C3,reaction_network_generation;md_analysis,library,Python,https://github.com/deepmodeling/reacnetgenerator,,LGPL-3.0,molecular-dynamics;reaction-network;analysis
166,EDBO+,Bayesian reaction optimization tool,"EDBO+ (Experimental Design via Bayesian Optimization) is a tool for chemical synthesis optimization, utilizing Bayesian optimization to recommend experimental conditions.",Chemistry;C3-04,reaction_optimization;experimental_design,solver,Python,https://github.com/doyle-lab-ucla/edboplus,,MIT,bayesian-optimization;synthesis;automation
167,CrossSpeciesWorkflow,CWL workflow for protein structure and phenotype prediction,"A Common Workflow Language (CWL) workflow that integrates multiple third-party prediction methods for protein secondary structure, solvent accessibility, and modifications.",Biology;Chemistry,structure_prediction;property_prediction,workflow,Python,https://github.com/eliza-m/CrossSpeciesWorkflow,,None,cwl;protein-structure;workflow
168,pysisyphus,Reaction path and stationary point optimization suite,A Python suite for the optimization of stationary points on ground- and excited-state potential energy surfaces and the determination of reaction paths.,Chemistry;C3,reaction_path_optimization;pes_exploration,library,Python,https://github.com/eljost/pysisyphus,https://pysisyphus.readthedocs.io/,GPL-3.0,quantum-chemistry;optimization;reaction-path
169,RNAsnap2,RNA solvent accessibility prediction tool,A tool for single-sequence and profile-based prediction of RNA solvent accessibility using dilated convolution neural networks.,Biology;Chemistry,rna_structure_prediction;solvent_accessibility,solver,Perl,https://github.com/jaswindersingh2/RNAsnap2,,MPL-2.0,rna;deep-learning;structure-prediction
170,SYBA,Synthetic Bayesian Accessibility scoring tool for organic compounds,A classification tool that calculates a score (SYBA) to estimate the synthetic accessibility of organic molecules based on the distribution of substructures in easy-to-synthesize and hard-to-synthesize datasets.,C3;C3-04,synthetic_accessibility_scoring;feasibility_analysis,library,Python,https://github.com/lich-uct/syba,,GPL-3.0,synthetic-accessibility;scoring-function;cheminformatics
171,ChemOpt,Deep reinforcement learning framework for chemical reaction optimization,"A framework that utilizes deep reinforcement learning to optimize chemical reaction conditions, aiming to maximize yield or other objectives through automated exploration of the parameter space.",C3;C3-04,reaction_optimization;condition_recommendation,solver,Python,https://github.com/lightingghost/chemopt,,MIT,reinforcement-learning;reaction-optimization;automation
172,RAScore,Tool for analyzing and classifying RAS protein structures,"A specialized tool designed to analyze the structures of RAS proteins, facilitating the classification and study of this critical protein family in biology.",Biology,protein_structure_analysis;structural_biology,library,Python,https://github.com/mitch-parker/rascore,,Apache-2.0,ras-protein;structure-analysis;bioinformatics
173,AZURE2,R-Matrix minimization code for nuclear astrophysics reaction analysis,"A specialized code for the analysis of complex multi-level multi-channel nuclear reactions, optimized for low energy charged particle reactions relevant to stellar nucleosynthesis.",Physics;Nuclear Astrophysics,nuclear_reaction_analysis;r-matrix_calculation,solver,C++,https://github.com/rdeboer1/AZURE2,https://azure.nd.edu/,None,nuclear-physics;astrophysics;reaction-analysis
174,CORDA,Cost Optimization Reaction Dependency Assessment for metabolic models,"A Python implementation for reconstructing genome-scale metabolic models using the CORDA algorithm, which assesses reaction dependencies to build concise metabolic networks.",Biology;Systems Biology,metabolic_model_reconstruction;network_analysis,library,Python,https://github.com/resendislab/corda,,MIT,metabolic-modeling;systems-biology;reconstruction
175,Summit,Machine learning platform for chemical reaction optimization,"A comprehensive toolkit for optimizing chemical reactions, providing interfaces for various machine learning algorithms and benchmarks to accelerate the discovery of optimal reaction conditions.",C3;C3-04,reaction_optimization;experimental_design,platform,Python,https://github.com/sustainable-processes/summit,https://summit.readthedocs.io/,MIT,reaction-optimization;bayesian-optimization;machine-learning
